subject,langcode,language
http://publications.europa.eu/resource/authority/language/BUL,bg,Bulgarian
http://publications.europa.eu/resource/authority/language/CES,cs,Czech
http://publications.europa.eu/resource/authority/language/DAN,da,Danish
http://publications.europa.eu/resource/authority/language/DEU,de,German
http://publications.europa.eu/resource/authority/language/ELL,el,Greek
http://publications.europa.eu/resource/authority/language/ENG,en,English
http://publications.europa.eu/resource/authority/language/SPA,es,Spanish
http://publications.europa.eu/resource/authority/language/EST,et,Estonian
http://publications.europa.eu/resource/authority/language/FIN,fi,Finnish
http://publications.europa.eu/resource/authority/language/FRA,fr,French
http://publications.europa.eu/resource/authority/language/GLE,ga,Irish
http://publications.europa.eu/resource/authority/language/HRV,hr,Croatian
http://publications.europa.eu/resource/authority/language/HUN,hu,Hungarian
http://publications.europa.eu/resource/authority/language/ITA,it,Italian
http://publications.europa.eu/resource/authority/language/LIT,lt,Lithuanian
http://publications.europa.eu/resource/authority/language/LAV,lv,Latvian
http://publications.europa.eu/resource/authority/language/MLT,mt,Maltese
http://publications.europa.eu/resource/authority/language/NLD,nl,Dutch
http://publications.europa.eu/resource/authority/language/POL,pl,Polish
http://publications.europa.eu/resource/authority/language/POR,pt,Portuguese
http://publications.europa.eu/resource/authority/language/RON,ro,Romanian
http://publications.europa.eu/resource/authority/language/SLK,sk,Slovak
http://publications.europa.eu/resource/authority/language/SLV,sl,Slovenian
http://publications.europa.eu/resource/authority/language/SWE,sv,Swedish
